;c;c;g;g;g;c
id;cena;halas;moc_nominlana;pojemnosc_worka;zasieg_pracy;waga
BL-VCC301;229,99;77;700;1,2;7,5;4,6
HY-VC 014;235,59;78;800;1;8;4,5
HY-VC009;239,35;80;700;1,5;8;4,2
BE-VCC34801AW;249;80;800;2,1;7,5;4,6
GO-BV200;299,95;80;700;2;7,7;5,7
BO-BGLS2BA1;299,97;80;600;3,5;8;4,5
AM-VM 1054 Silo;299,99;79;850;2;7,5;4,8
AM-Fen Turbo VM 2062;299,99;76;850;3;8;6,4
AM-Bagio Eco VM 3045;349;79;850;1,5;8;6,1
TE-Compact Power TW3931;379,99;79;750;3;8,8;3,68
ZE-Kuba;399;76;650;3;7,85;4,75
AM-Fen Turbo Pro VM 2064;399,97;76;850;3;8;6,5
EL-Clean 300;399,99;78;650;3;7,5;4,8
GO-VC900;498,22;70;800;2,5;7,5;8
AM-Sharq VM 7011;524,99;61;700;3,5;10;8,5
PH-Series 2000 XB2125/09;529;77;750;1,3;9;4
TE-Compact Power XXL Total Clean;548;75;750;2,5;8,8;6,3
BO-BGS05A322;549;78;700;1,5;10;4,4
ZE-Antek;549;76;900;3,5;8,8;4,5
EL-Clean 500;599,97;78;650;3;8,5;5,67
EL-PowerForce;659,99;77;700;3,5;9;6,01
EL-seria 600;689;73;750;3,5;12;7,43
BO-BGB6X330;798,44;75;600;4;12;6
HO-H-Energy 300;799,99;73;850;4;10;3,92
BO-BGL6POW1;799,99;76;850;4;12;4,3
HO-H-Energy 500;899,97;67;700;4;10;5,1
EL-Silence PD82-4MB;899,99;57;500;3,5;12;7,2
EL-Silence PD82-ALRG;989;57;500;3,5;12;7,28
HO-H-Energy 700;999,97;66;850;6;10;5,3
MI-Boost CX1 PowerLine;1199;78;890;1;10;7,75
